# 文档登记的输入。列：doc_id / 层 / 组件 / 标题 / 网址 / reuse（可选，指向上一轮已抓下的原始副本标识）
k8s-probes-concept	容器编排	Kubernetes	Liveness, Readiness, and Startup Probes	https://kubernetes.io/docs/concepts/configuration/liveness-readiness-startup-probes/	
k8s-probes-task	容器编排	Kubernetes	Configure Liveness, Readiness and Startup Probes	https://kubernetes.io/docs/tasks/configure-pod-container/configure-liveness-readiness-startup-probes/	DOC-K8S-PROBES-TASK
k8s-pod-lifecycle	容器编排	Kubernetes	Pod Lifecycle	https://kubernetes.io/docs/concepts/workloads/pods/pod-lifecycle/	DOC-K8S-POD-LIFECYCLE
k8s-resources	容器编排	Kubernetes	Resource Management for Pods and Containers	https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/	DOC-K8S-RESOURCES
k8s-qos	容器编排	Kubernetes	Pod Quality of Service Classes	https://kubernetes.io/docs/concepts/workloads/pods/pod-qos/	DOC-K8S-QOS
k8s-disruptions	容器编排	Kubernetes	Disruptions	https://kubernetes.io/docs/concepts/workloads/pods/disruptions/	DOC-K8S-DISRUPTIONS
k8s-pdb-task	容器编排	Kubernetes	Specifying a Disruption Budget for your Application	https://kubernetes.io/docs/tasks/run-application/configure-pdb/	DOC-K8S-PDB-TASK
k8s-hpa	容器编排	Kubernetes	Horizontal Pod Autoscaling	https://kubernetes.io/docs/tasks/run-application/horizontal-pod-autoscale/	DOC-K8S-HPA
k8s-topology-spread	容器编排	Kubernetes	Pod Topology Spread Constraints	https://kubernetes.io/docs/concepts/scheduling-eviction/topology-spread-constraints/	DOC-K8S-TOPOSPREAD
k8s-affinity	容器编排	Kubernetes	Assigning Pods to Nodes	https://kubernetes.io/docs/concepts/scheduling-eviction/assign-pod-node/	DOC-K8S-AFFINITY
k8s-eviction	容器编排	Kubernetes	Node-pressure Eviction	https://kubernetes.io/docs/concepts/scheduling-eviction/node-pressure-eviction/	DOC-K8S-EVICTION
k8s-deployment	容器编排	Kubernetes	Deployments (rolling update parameters)	https://kubernetes.io/docs/concepts/workloads/controllers/deployment/	
k8s-config-best-practices	容器编排	Kubernetes	Configuration Best Practices	https://kubernetes.io/docs/concepts/configuration/overview/	DOC-K8S-CONFIG-BEST
envoy-timeouts	入口与代理	Envoy	FAQ: Envoy timeouts	https://www.envoyproxy.io/docs/envoy/latest/faq/configuration/timeouts	DOC-ENVOY-TIMEOUTS
envoy-route-retry	入口与代理	Envoy	HTTP route components (timeout, retry_policy)	https://www.envoyproxy.io/docs/envoy/latest/api-v3/config/route/v3/route_components.proto	DOC-ENVOY-ROUTE-PROTO
envoy-circuit-breaking	入口与代理	Envoy	Circuit breaking	https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/circuit_breaking	DOC-ENVOY-CB
envoy-outlier-detection	入口与代理	Envoy	Outlier detection	https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/outlier	DOC-ENVOY-OUTLIER
envoy-health-checking	入口与代理	Envoy	Health checking	https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/upstream/health_checking	DOC-ENVOY-HEALTHCHECK
istio-virtualservice	入口与代理	Istio	VirtualService reference (HTTPRetry, timeout)	https://istio.io/latest/docs/reference/config/networking/virtual-service/	DOC-ISTIO-VS
istio-destinationrule	入口与代理	Istio	DestinationRule reference (connectionPool, outlierDetection)	https://istio.io/latest/docs/reference/config/networking/destination-rule/	DOC-ISTIO-DR
istio-request-timeouts	入口与代理	Istio	Request Timeouts	https://istio.io/latest/docs/tasks/traffic-management/request-timeouts/	DOC-ISTIO-TIMEOUTS
ingress-nginx-annotations	入口与代理	ingress-nginx	NGINX Ingress annotations	https://kubernetes.github.io/ingress-nginx/user-guide/nginx-configuration/annotations/	DOC-INGRESSNGINX-ANNOT
grpc-deadlines	RPC 与 HTTP 客户端	gRPC	Deadlines	https://grpc.io/docs/guides/deadlines/	DOC-GRPC-DEADLINES
grpc-cancellation	RPC 与 HTTP 客户端	gRPC	Cancellation	https://grpc.io/docs/guides/cancellation/	DOC-GRPC-CANCELLATION
grpc-keepalive	RPC 与 HTTP 客户端	gRPC	Keepalive	https://grpc.io/docs/guides/keepalive/	DOC-GRPC-KEEPALIVE
grpc-retry	RPC 与 HTTP 客户端	gRPC	Retry	https://grpc.io/docs/guides/retry/	DOC-GRPC-RETRY
grpc-retry-grfc	RPC 与 HTTP 客户端	gRPC	gRFC A6: client retries	https://raw.githubusercontent.com/grpc/proposal/master/A6-client-retries.md	DOC-GRPC-HEDGING
go-context	RPC 与 HTTP 客户端	Go context	context package	https://pkg.go.dev/context	DOC-GO-CONTEXT
go-net-http	RPC 与 HTTP 客户端	Go net/http	net/http package	https://pkg.go.dev/net/http	DOC-GO-NETHTTP-CLIENT
spring-rest-clients	RPC 与 HTTP 客户端	Spring Boot	REST Clients	https://docs.spring.io/spring-boot/reference/io/rest-client.html	DOC-SPRING-RESTCLIENT
spring-cloud-openfeign	RPC 与 HTTP 客户端	Spring Cloud OpenFeign	Spring Cloud OpenFeign reference	https://docs.spring.io/spring-cloud-openfeign/reference/spring-cloud-openfeign.html	
node-undici	RPC 与 HTTP 客户端	undici	undici Dispatcher / Client API	https://raw.githubusercontent.com/nodejs/undici/main/docs/docs/api/Client.md	
axios	RPC 与 HTTP 客户端	axios	axios request config	https://raw.githubusercontent.com/axios/axios/v1.x/README.md	
dotnet-httpclient-guidelines	RPC 与 HTTP 客户端	.NET HttpClient	HttpClient guidelines for .NET	https://learn.microsoft.com/en-us/dotnet/fundamentals/networking/http/httpclient-guidelines	DOC-DOTNET-HTTPCLIENT
dotnet-httpclient-factory	RPC 与 HTTP 客户端	.NET HttpClient	IHttpClientFactory with .NET	https://learn.microsoft.com/en-us/dotnet/core/extensions/httpclient-factory	DOC-DOTNET-HTTPFACTORY
python-requests-advanced	RPC 与 HTTP 客户端	Python requests	Advanced Usage (timeouts)	https://requests.readthedocs.io/en/latest/user/advanced/	DOC-PY-REQUESTS
python-httpx-timeouts	RPC 与 HTTP 客户端	Python httpx	Timeouts	https://www.python-httpx.org/advanced/timeouts/	DOC-PY-HTTPX-TIMEOUT
rust-reqwest	RPC 与 HTTP 客户端	reqwest	reqwest ClientBuilder	https://docs.rs/reqwest/latest/reqwest/struct.ClientBuilder.html	
ruby-net-http	RPC 与 HTTP 客户端	Ruby Net::HTTP	Net::HTTP	https://docs.ruby-lang.org/en/master/Net/HTTP.html	
php-guzzle	RPC 与 HTTP 客户端	Guzzle	Guzzle request options	https://docs.guzzlephp.org/en/stable/request-options.html	
